School,Name,Position,Class,Hometown,High School,,
Iowa,Diante Vines,WR,Jr.,"Danbury, Conn.",The Taft School,,
Iowa,Xavier Nwankpa,DB,So.,"Pleasant Hill, Iowa",Southeast Polk,,
Iowa,TJ Hall,DB,So.,"Fresno, Calif.",San Joaquin Memorial,,
Iowa,Kaleb Johnson,RB,So.,"Hamilton, Ohio",Hamilton,,
Iowa,Kaleb Brown,WR,So.,"Chicago, Ill.",St. Rita,,
Iowa,Cooper DeJean,DB,Jr.,"Odebolt, Iowa",OA-BCIG,,
Iowa,Koen Entringer,DB,RS Fr.,"Ypsilanti, Mich.",Walled Lake Western,,
Iowa,Leshon Williams,RB,Jr.,"Chicago, Ill.",Richards,,
Iowa,Teegan Davis,DB,Fr.,"Princeton, Ill.",Princeton,,
Iowa,Joe Labas,QB,So.,"Brecksville, Ohio",Brecksville-Broadview Heights,,
Iowa,Seth Anderson,WR,So.,"Suwanee, Ga.",North Gwinnett,,
Iowa,Zach Lutmer,DB,Fr.,"Rock Rapids, Iowa",Central Lyon/GLR,,
Iowa,Jacob Bostick,WR,RS Fr.,"Palatine, Ill.",Palatine,,
Iowa,John Nestor,DB,Fr.,"Chicago, Ill.",Marist,,
Iowa,Deshaun Lee,DB,RS Fr.,"Belleville, Mich.",Belleville,,
Iowa,"Terrell Washington, Jr.",RB,Fr.,"Wylie, Texas",Wylie East,,
Iowa,Jaziun Patterson,RB,RS Fr.,"Pompano, Beach, Fla.",Deerfield Beach,,
Iowa,Tory Taylor,P,Sr.,"Melbourne, Australia",Haileybury College,,
Iowa,Deacon Hill,QB,So.,"Santa Barbara, Calif.",Santa Barbara,,
Iowa,Nick Jackson,LB,Sr.,"Atlanta, Ga.",The Lovett School,,
Iowa,Marco Lainez,QB,Fr.,"Princeton, N.J.",The Hun School,,
Iowa,Cade McNamara,QB,Sr.,"Reno, Nev.",Damonte Ranch,,
Iowa,Jaxon Rexroth,LB,So.,"Cedar Rapids, Iowa",Xavier,,
Iowa,Joe Evans,DE,Sr.,"Ames, Iowa",Ames,,
Iowa,Reese Osgood,WR,RS Fr.,"Franklin, Wis.",Franklin,,
Iowa,Alex Mota,WR,Fr.,"Marion, Iowa",Marion,,
Iowa,Kahlil  Tate,DB,Fr.,"Chicago, Ill.",Kenwood Academy,,
Iowa,Amare  Bickham,DB,Fr.,"Fulshear, Texas",Fulshear,,
Iowa,Graham Friedrichsen,WR,RS Fr.,"Urbandale, Iowa",Urbandale,,
Iowa,Jamison Heinz,DB,Jr.,"Humboldt, Iowa",Humboldt,,
Iowa,Brenden Deasfernandes,DB,Jr.,"Belleville, Mich.",Belleville,,
Iowa,Alex Eichmann,WR,RS Fr.,"Sussex, Wis.",Hamilton-Sussex,,
Iowa,Drew Stevens,K,So.,"North Augusta, S.C.",North Augusta,,
Iowa,Alec Wick,WR,So.,"Iowa City, Iowa",Regina Catholic,,
Iowa,Tommy  Poholsky,QB,Fr.,"Evergreen, Colo.",Evergreen,,
Iowa,Deavin Hilson,DB,So.,"Des Moines, Iowa",North,,
Iowa,Dayton Howard,WR,Fr.,"Kansas City, Mo.",Park Hill,,
Iowa,Watts McBride,DB,Fr.,"Cedar Rapids, Iowa",Washington,,
Iowa,Kaden Wetjen,WR,Jr.,"Williamsburg, Iowa",Williamsburg,,
Iowa,Max White,RB,So.,"Cedar Rapids, Iowa",Kennedy,,
Iowa,Landyn Van Kekerix,LB,RS Fr.,"Rock Valley, Iowa",Boyden Hull/Rock Valley,,
Iowa,Ayden  Price,WR,Fr.,"West Des Moines, Iowa",Valley,,
Iowa,Kelby Telander,LB,So.,"North Liberty, Iowa",Liberty,,
Iowa,Kael Kolarik,DB,RS Fr.,"Indianola, Iowa",Indianola,,
Iowa,Aidan McDermott,WR,Fr.,"Cedar Rapids, Iowa",Xavier,,
Iowa,Jermari Harris,DB,Jr.,"Chicago, Ill.",Montini Catholic,,
Iowa,Aidan Hall,LB,Fr.,"Harlan, Iowa",Harlan,,
Iowa,Kamari Moulton,RB,Fr.,"Ft. Lauderdale, Fla.",Cardinal Gibbons,,
Iowa,Sebastian Castro,DB,Sr.,"Oak Lawn, Ill.",Richards,,
Iowa,Judah  Mallette,WR,Fr.,"Chicago, Ill.",Hope Academy,,
Iowa,Quinn Schulte,DB,Sr.,"Cedar Rapids, Iowa",Xavier,,
Iowa,Nolan DeLong,LB,Fr.,"Durant, Iowa",Durant,,
Iowa,Eli Miller,FB,So.,"Sedalia, Colo.",Lipscomp Academy,,
Iowa,Ben Kueter,LB,Fr.,"Iowa City, Iowa",Iowa City,,
Iowa,Jackson Filer,DL,Jr.,"Des Moines, Iowa",Dowling Catholic,,
Iowa,Jay Higgins,LB,Sr.,"Indianapolis, Ind.",Brebeuf Jesuit Prep,,
Iowa,Tanner  Pollock,LB,Jr.,"Waterloo, Iowa",West,,
Iowa,Jayden Montgomery,LB,RS Fr.,"Suamico, Wis.",Bay Port,,
Iowa,Kyler Fisher,LB,Sr.,"Farnhamville, Iowa",SE Valley,,
Iowa,Greg Fagan,LB,RS Fr.,"Council Bluffs, Iowa",St. Albert,,
Iowa,Luke Elkin,LS,Jr.,"Neenah, Wis.",Neenah,,
Iowa,Eric Epenesa,LB,So.,"Glen Carbon, Ill.",Edwardsville,,
Iowa,Josef Smith,LB,Jr.,"Britt, Iowa",West Hancock,,
Iowa,Jalyn  Thompson,TE,Fr.,"West Des Moines, Iowa",Dowling,,
Iowa,Jaden Harrell,LB,So.,"Urbandale, Iowa",Urbandale,,
